Customer_ID,Age,Gender,Marital_Status,Education_Level,Employment_Type,Annual_Income,Region,Credit_Score,Existing_Loans_Count,Dependents,Account_Balance,Loan_ID,Loan_Purpose,Loan_Amount,Loan_Term_Months,Interest_Rate,Debt_to_Income_Ratio_%,Application_Date,Approval_Date,Loan_Status,Default_Risk_Flag,Approval_Days,Loan_to_Income_Ratio,Loan_to_Income_Exposure_%,Application_Year,Application_Month,Application_Month_Name,Approval_Year,Loan_Size_Category,Credit_Score_Category,Loan_Exposure_Category
CUST1,58,Male,Divorced,Bachelor,Salaried,196780,East,555,0,2,474834,LOAN1,Business Loan,1421086,24,15.2,722.17,2018-11-22,2018-11-26,Default,1,4,7.2216993596910255,722.1699359691025,2018,11,November,2018,Very Large,Poor,Very High
CUST2,47,Female,Married,Bachelor,Unemployed,197067,West,437,4,0,208267,LOAN2,Business Loan,157705,24,5.15,80.03,2018-03-30,2018-04-09,Default,1,10,0.8002608249986045,80.02608249986045,2018,3,March,2018,Small,Poor,Low
CUST3,65,Male,Married,High School,Unemployed,88261,East,622,4,4,256049,LOAN3,Personal Loan,1113215,12,13.44,1261.28,2022-08-21,2022-08-25,Default,1,4,12.612762148627366,1261.2762148627367,2022,8,August,2022,Very Large,Fair,Extreme
CUST4,63,Female,Divorced,PhD,Self-Employed,73260,West,553,4,3,209329,LOAN4,Business Loan,1324205,84,17.27,1807.54,2018-09-16,2018-09-24,Default,1,8,18.075416325416324,1807.5416325416325,2018,9,September,2018,Very Large,Poor,Extreme
CUST5,36,Female,Divorced,Bachelor,Unemployed,77524,Central,685,2,1,52073,LOAN5,Business Loan,907030,48,11.94,1170.0,2018-02-24,2018-03-04,Default,1,8,11.699989680615035,1169.9989680615035,2018,2,February,2018,Large,Good,Extreme
CUST6,54,Female,Single,Bachelor,Self-Employed,60885,South,489,4,4,108861,LOAN6,Personal Loan,353172,48,9.23,580.06,2023-06-19,2023-06-30,Default,1,11,5.800640551860064,580.0640551860064,2023,6,June,2023,Medium,Poor,Very High
CUST7,43,Male,Single,High School,Salaried,140406,East,843,4,1,241206,LOAN7,Business Loan,286465,60,12.08,204.03,2021-09-18,2021-09-23,Default,1,5,2.0402618121732687,204.02618121732687,2021,9,September,2021,Medium,Excellent,Moderate
CUST8,51,Male,Married,Master,Salaried,168999,East,581,5,3,437954,LOAN8,Car Loan,96873,24,7.66,57.32,2022-06-30,2022-07-10,Default,1,10,0.5732164095645537,57.32164095645537,2022,6,June,2022,Small,Fair,Low
CUST9,25,Female,Single,Bachelor,Salaried,168426,North,875,0,1,35677,LOAN9,Personal Loan,1486205,24,11.62,882.41,2019-08-14,2019-08-28,Default,1,14,8.82408298006246,882.408298006246,2019,8,August,2019,Very Large,Excellent,Very High
CUST10,32,Male,Single,High School,Self-Employed,126603,Central,829,1,4,159251,LOAN10,Personal Loan,303516,84,12.41,239.74,2023-05-10,2023-05-23,Default,1,13,2.397383948247672,239.7383948247672,2023,5,May,2023,Medium,Excellent,Moderate
CUST11,29,Male,Single,PhD,Self-Employed,181535,East,808,5,4,405309,LOAN11,Business Loan,430543,120,14.59,237.17,2022-01-09,2022-01-17,Default,1,8,2.3716803922108682,237.16803922108681,2022,1,January,2022,Medium,Excellent,Moderate
CUST12,53,Female,Married,Master,Unemployed,148531,Central,785,2,4,300487,LOAN12,Business Loan,1199030,12,7.6,807.26,2018-03-31,2018-04-12,Default,1,12,8.072590906948717,807.2590906948717,2018,3,March,2018,Very Large,Very Good,Very High
CUST13,65,Male,Single,Bachelor,Business,169941,East,675,5,4,289440,LOAN13,Car Loan,1302836,36,9.71,766.64,2020-03-09,2020-03-14,Default,1,5,7.666401868883907,766.6401868883906,2020,3,March,2020,Very Large,Good,Very High
CUST14,21,Female,Divorced,High School,Salaried,24515,East,632,1,2,133200,LOAN14,Home Loan,371164,24,12.98,1514.03,2021-08-31,2021-09-09,Default,1,9,15.14028146033041,1514.028146033041,2021,8,August,2021,Medium,Fair,Extreme
